readtime,sub_section,subsub_section,url
39.805,The model layer,Models,https://docs.djangoproject.com/en/5.1/topics/db/models/
4.135,The model layer,Search,https://docs.djangoproject.com/en/5.1/topics/db/search/
8.215,The model layer,Conditional Expressions,https://docs.djangoproject.com/en/5.1/ref/models/conditional-expressions/
34.63,The model layer,Query Expressions,https://docs.djangoproject.com/en/5.1/ref/models/expressions/
9.39,The model layer,How to write custom lookups,https://docs.djangoproject.com/en/5.1/howto/custom-lookups/
18.445,The model layer,Aggregation,https://docs.djangoproject.com/en/5.1/topics/db/aggregation/
45.255,The model layer,Database Functions,https://docs.djangoproject.com/en/5.1/ref/models/database-functions/
18.085,The model layer,Database transactions,https://docs.djangoproject.com/en/5.1/topics/db/transactions/
10.63,The model layer,Performing raw SQL queries,https://docs.djangoproject.com/en/5.1/topics/db/sql/
10.61,The model layer,Managers,https://docs.djangoproject.com/en/5.1/topics/db/managers/
9.01,The model layer,How to create database migrations,https://docs.djangoproject.com/en/5.1/howto/writing-migrations/
4.295,The model layer,,https://docs.djangoproject.com/en/5.1/ref/schema-editor/
15.99,The model layer,Migration Operations,https://docs.djangoproject.com/en/5.1/ref/migration-operations/
10.305,Other core functionalities,Unicode data,https://docs.djangoproject.com/en/5.1/ref/unicode/
2.125,Other core functionalities,The redirects app,https://docs.djangoproject.com/en/5.1/ref/contrib/redirects/
11.915,Other core functionalities,The “sites” framework,https://docs.djangoproject.com/en/5.1/ref/contrib/sites/
8.255,Other core functionalities,Signals,https://docs.djangoproject.com/en/5.1/topics/signals/
7.065,Other core functionalities,System check framework,https://docs.djangoproject.com/en/5.1/topics/checks/
7.435,Other core functionalities,The flatpages app,https://docs.djangoproject.com/en/5.1/ref/contrib/flatpages/
11.475,Common web application tools,"The , app",https://docs.djangoproject.com/en/5.1/ref/contrib/staticfiles/
12.48,Other core functionalities,The contenttypes framework,https://docs.djangoproject.com/en/5.1/ref/contrib/contenttypes/
6.64,Other core functionalities,Conditional View Processing,https://docs.djangoproject.com/en/5.1/topics/conditional-view-processing/
6.9,Common web application tools,Validators,https://docs.djangoproject.com/en/5.1/ref/validators/
21.545,Common web application tools,How to use sessions,https://docs.djangoproject.com/en/5.1/topics/http/sessions/
15.5,Common web application tools,Serializing Django objects,https://docs.djangoproject.com/en/5.1/topics/serialization/
10.865,Common web application tools,The sitemap framework,https://docs.djangoproject.com/en/5.1/ref/contrib/sitemaps/
10.27,Common web application tools,The messages framework,https://docs.djangoproject.com/en/5.1/ref/contrib/messages/
3.0,Common web application tools,Pagination,https://docs.djangoproject.com/en/5.1/topics/pagination/
23.64,Common web application tools,The syndication feed framework,https://docs.djangoproject.com/en/5.1/ref/contrib/syndication/
17.935,Common web application tools,Sending email,https://docs.djangoproject.com/en/5.1/topics/email/
10.41,Common web application tools,Logging,https://docs.djangoproject.com/en/5.1/topics/logging/
36.925,Common web application tools,Django’s cache framework,https://docs.djangoproject.com/en/5.1/topics/cache/
